,dda_ij,D_norm,ROT_i,ROT_j,q_i,q_j,a_ij
50,eg,0.0004898116706965267,e,g,0.010011488593467914,0.010011488593467914,16.82953355840693
51,eh,0.0004595104167900639,e,h,0.010011488593467914,0.010011488593467914,16.893392918738936
52,ei,0.0004605884551330199,e,i,0.010011488593467914,0.010011488593467914,16.891049607885822
53,ej,0.0004799225090544052,e,j,0.010011488593467914,0.010011488593467914,16.849929878715447
54,ek,0.0004746490171926037,e,k,0.010011488593467914,0.010011488593467914,16.86097891038288
55,fa,0.0005969496443984623,f,a,0.040538322665353684,0.040538322665353684,13.834692823111446
56,fb,0.00044037435844869574,f,b,0.040538322665353684,0.040538322665353684,14.138900405374498
57,fc,0.0003807241218480035,f,c,0.040538322665353684,0.040538322665353684,14.284450561995913
58,fd,0.0006061818382424891,f,d,0.040538322665353684,0.040538322665353684,13.819345581039506
59,fe,0.0004556322070633716,f,e,0.040538322665353684,0.040538322665353684,14.104839664595755
60,ff,0.00036766122234074453,f,f,0.040538322665353684,0.040538322665353684,14.319363662506312
61,fg,0.0006054262357125143,f,g,0.040538322665353684,0.040538322665353684,13.82059285339461
62,fh,0.000517487995941442,f,h,0.040538322665353684,0.040538322665353684,13.977539256583242
63,fi,0.0004266270030844643,f,i,0.040538322665353684,0.040538322665353684,14.170615482801733
64,fj,0.0006058295270092444,f,j,0.040538322665353684,0.040538322665353684,13.819926947276274
65,fk,0.00043993440663874314,f,k,0.040538322665353684,0.040538322665353684,14.139899945226945
66,ga,0.0004126914359090348,g,a,0.015263417035942884,0.015263417035942884,16.1574030869829
67,gb,0.0004732468253318832,g,b,0.015263417035942884,0.015263417035942884,16.020486190314163
68,gc,0.0005609064158818181,g,c,0.015263417035942884,0.015263417035942884,15.850549197157443
69,gd,0.0004608909781942817,g,d,0.015263417035942884,0.015263417035942884,16.046941746943407
70,ge,0.0004898116706965268,g,e,0.015263417035942884,0.015263417035942884,15.986082300447041
71,gf,0.0006054262357125144,g,f,0.015263417035942884,0.015263417035942884,15.774170540344052
72,gg,0.0003653829196357719,g,g,0.015263417035942884,0.015263417035942884,16.279157373595204
73,gh,0.000468600448264697,g,h,0.015263417035942884,0.015263417035942884,16.03035278947738
74,gi,0.0005540090424781547,g,i,0.015263417035942884,0.015263417035942884,15.86292226337794
75,gj,0.0004143042851448797,g,j,0.015263417035942884,0.015263417035942884,16.153502580028384
76,gk,0.0005707720408516661,g,k,0.015263417035942884,0.015263417035942884,15.83311337014196
77,ha,0.0004784784198247364,h,a,0.005580173970129656,0.005580173970129656,18.021970098987776
78,hb,0.00048797979593816627,h,b,0.005580173970129656,0.005580173970129656,18.00230720599892
79,hc,0.0004452115626296138,h,c,0.005580173970129656,0.005580173970129656,18.09403161840018
80,hd,0.0005587620339904267,h,d,0.005580173970129656,0.005580173970129656,17.866857526190042
81,he,0.0004595104167900639,h,e,0.005580173970129656,0.005580173970129656,18.062419597853236
82,hf,0.0005174879959414419,h,f,0.005580173970129656,0.005580173970129656,17.943594880606874
83,hg,0.0004686004482646971,h,g,0.005580173970129656,0.005580173970129656,18.042830726551568
84,hh,0.0003035512599373926,h,h,0.005580173970129656,0.005580173970129656,18.477030716986125
85,hi,0.0004174993026650406,h,i,0.005580173970129656,0.005580173970129656,18.1582983352028
86,hj,0.00046773562923469207,h,j,0.005580173970129656,0.005580173970129656,18.044677967722137
87,hk,0.0004700632236491766,h,k,0.005580173970129656,0.005580173970129656,18.03971400516912
88,ia,0.0005566760086174033,i,a,0.03282455276546857,0.03282455276546857,14.326684126815882
89,ib,0.00044802201412562945,i,b,0.03282455276546857,0.03282455276546857,14.543825155484189
90,ic,0.0003598826550509499,i,c,0.03282455276546857,0.03282455276546857,14.762889505242757
91,id,0.0006064115229651306,i,d,0.03282455276546857,0.03282455276546857,14.241108688966364
92,ie,0.00046058845513302,i,e,0.03282455276546857,0.03282455276546857,14.516162603136372
93,if,0.0004266270030844643,i,f,0.03282455276546857,0.03282455276546857,14.592757422961613
94,ig,0.0005540090424781547,i,g,0.03282455276546857,0.03282455276546857,14.331486516588377
95,ih,0.0004174993026650406,i,h,0.03282455276546857,0.03282455276546857,14.61438465133905
96,ii,0.0003330391494063387,i,i,0.03282455276546857,0.03282455276546857,14.84040747651026
97,ij,0.0005621361827206895,i,j,0.03282455276546857,0.03282455276546857,14.31692338681742
98,ik,0.000412139075815035,i,k,0.03282455276546857,0.03282455276546857,14.627306670319268
99,ja,0.00042703116161556866,j,a,0.008534383719021828,0.008534383719021828,17.285957832710142
100,jb,0.0005003199045862692,j,b,0.008534383719021828,0.008534383719021828,17.127567118294305
101,jc,0.0005680006260307436,j,c,0.008534383719021828,0.008534383719021828,17.000692300411064
102,jd,0.0004810840544169917,j,d,0.008534383719021828,0.008534383719021828,17.166772817151855
103,je,0.0004799225090544052,j,e,0.008534383719021828,0.008534383719021828,17.169190169899213
104,jf,0.0006058295270092443,j,f,0.008534383719021828,0.008534383719021828,16.936216183369375
105,jg,0.0004143042851448797,j,g,0.008534383719021828,0.008534383719021828,17.316214129172042
