ROT_i,ROT_j,a_ij
1t,6g,20.158467626164924
1t,8d,19.963731133739483
1t,4d,20.900684960649727
1t,6d,20.022428766809174
1t,2h,20.47872309486177
1t,4n,21.057786706576614
1t,0i,21.27635676612246
1t,6n,20.178466241901127
1t,6j,20.7437870066056
1t,2[,19.476209214466248
1t,4b,19.801931232195003
1t,0b,20.364743470255448
1t,4p,20.527151661936816
1t,6p,19.293943830175127
1t,4s,21.119280159175112
1t,2o,20.739007362603253
5q,1a,14.607276449620755
5q,1m,20.250304239584914
5q,1L,20.42494137581064
5q,&a,19.570328737809678
5q,7a,19.473498856230663
5q,3a,19.885089592965823
5q,9a,20.21840507260221
5q,1g,18.83500190817256
5q,7d,20.475585973770517
5q,3d,20.317454490817717
5q,5d,20.89997792994257
5q,1e,19.455351768749548
5q,1c,17.623070936035365
5q,1f,20.234197782289776
5q,5j,21.382839950524566
5q,1b,17.904721635007498
5q,1[,19.062231780209558
5q,3b,20.471971099743453
5q,1z,20.62864732406488
5q,5z,19.856660736258945
5q,7p,19.963803889540074
5q,1t,21.245780360418767
5q,5q,22.54381606000339
5q,1o,20.360331350150698
5q,7r,20.478901175435507
5q,2a,18.12469987646337
5q,4a,20.54088609006232
5q,0a,19.7501845138262
5q,#a,20.43690629690628
5q,4g,20.331145335761732
5q,6g,20.438778982279093
5q,8d,20.06151697362247
5q,4d,21.088130077782505
5q,6d,20.521058305557013
5q,2h,20.18806297774064
5q,4n,21.170367122440524
5q,0i,21.669288230162888
5q,6n,20.771751585784852
5q,6j,21.470508169065987
5q,2[,19.25220981831228
5q,4b,19.82217587851899
5q,0b,20.51563032555161
5q,4p,20.646081976164496
5q,6p,19.795397268638546
5q,4s,21.18200311458368
5q,2o,20.4881189010224
1o,1a,13.97308275797367
1o,1m,19.647452372263132
1o,1L,19.75351924599652
1o,&a,18.90296317428054
1o,7a,18.729566252027475
1o,3a,19.037551105525708
1o,9a,19.28007222894529
1o,1g,17.960104137571133
1o,7d,19.387889374395034
1o,3d,19.12617390478852
1o,5d,19.38709350989544
1o,1e,18.801673098445846
1o,1c,16.909855768163702
1o,1f,19.50470399790856
1o,5j,19.650391787748333
1o,1b,17.294144370447313
1o,1[,18.476343485291192
1o,3b,19.640681634169606
1o,1z,19.79387647999105
1o,5z,18.43737008097508
1o,7p,18.82891803913507
1o,1t,20.620573699048386
1o,5q,20.360331350150698
1o,1o,20.531346553611826
1o,7r,19.576563787930176
1o,2a,17.47971809482534
1o,4a,19.720586322120194
1o,0a,18.84151115380516
1o,#a,19.521413921609334
1o,4g,19.315618604224124
1o,6g,19.32936499901354
1o,8d,18.956754672753316
1o,4d,19.923525138283537
1o,6d,19.119669240907463
1o,2h,19.771931258929502
1o,4n,20.09606863410552
1o,0i,20.42423366404289
1o,6n,19.305398236054412
1o,6j,19.8996354070566
1o,2[,18.6343208494415
1o,4b,18.978219156254724
1o,0b,19.55920345164333
1o,4p,19.540601089250817
1o,6p,18.384151158011235
1o,4s,20.367264588619605
1o,2o,20.36856660895822
7r,1a,13.594355668701914
7r,1m,19.264375817351716
7r,1L,19.385783185944327
7r,&a,18.52849291588632
7r,7a,18.38103158053584
7r,3a,18.729865935887176
7r,9a,18.994678439307684
7r,1g,17.81557358946133
7r,7d,19.410351285887312
7r,3d,19.155516307931574
7r,5d,19.389771844623436
7r,1e,18.49566589734034
7r,1c,16.82909860355631
7r,1f,19.38368167246932
7r,5j,19.755896744743872
7r,1b,16.898821836622005
7r,1[,18.0718484103446
7r,3b,19.319762744900263
7r,1z,19.59404183416821
7r,5z,18.340888430187093
7r,7p,18.85088883030681
7r,1t,20.43765992477404
7r,5q,20.478901175435507
7r,1o,19.576563787930176
7r,7r,20.275132518685023
7r,2a,17.12896719905885
7r,4a,19.412044798603485
7r,0a,18.55901265386688
7r,#a,19.22578272501006
7r,4g,19.138324374138428
7r,6g,19.16328634105872
7r,8d,18.985917000825715
7r,4d,19.927311100140628
7r,6d,19.130078502302908
7r,2h,19.29265805794084
7r,4n,20.259514076351675
7r,0i,20.492238351745176
7r,6n,19.420884439632122
7r,6j,19.976830631429678
7r,2[,18.26682583697274
7r,4b,18.66620046786787
7r,0b,19.295525015857642
7r,4p,19.548333259908468
7r,6p,18.396903783610377
7r,4s,20.065422809416727
7r,2o,19.723426818571653
2a,1a,12.36092203096693
2a,1m,17.95075543364863
2a,1L,18.12505713310988
2a,&a,17.22399504167224
2a,7a,16.995008204212155
2a,3a,17.207144836684606
2a,9a,17.359612844717237
2a,1g,16.156298400895103
2a,7d,17.417932188841508
2a,3d,17.126322799254908
2a,5d,17.31571847993395
2a,1e,16.66011342230302
2a,1c,14.683725870473303
2a,1f,17.315007427641312
2a,5j,17.444578523732538
2a,1b,15.544923942139704
2a,1[,16.728707807043012
2a,3b,17.744684136925308
2a,1z,17.919893242875727
2a,5z,16.392280727826808
2a,7p,16.796102554711315
2a,1t,18.32876908878449
2a,5q,18.12469987646337
2a,1o,17.47971809482534
2a,7r,17.12896719905885
2a,2a,16.23162763324233
2a,4a,17.94235137482873
2a,0a,16.999471707503325
2a,#a,17.720737567136872
2a,4g,17.5003478812192
2a,6g,17.35349295211121
2a,8d,17.01183097626233
2a,4d,17.94756451914773
2a,6d,17.080342968565727
2a,2h,17.699027600334258
2a,4n,17.877229743095754
2a,0i,18.227051858551548
2a,6n,17.122543584327655
2a,6j,17.703646823989374
2a,2[,16.997205685849295
2a,4b,17.160010480959002
2a,0b,17.619277171133852
2a,4p,17.535506154437755
2a,6p,16.32858592623065
2a,4s,18.20174037563116
2a,2o,17.649309469981894
4a,1a,14.375917601374082
4a,1m,19.970505620652908
4a,1L,20.246020319495027
4a,&a,19.344442287686075
4a,7a,19.31648824934484
4a,3a,19.710232088983854
4a,9a,19.945811739305373
4a,1g,18.284268339648907
4a,7d,19.661178476972548
4a,3d,19.432384396609088
4a,5d,19.751021637717677
4a,1e,18.876195870074216
4a,1c,16.866708217307615
4a,1f,19.504303587888867
4a,5j,19.859914623876566
4a,1b,17.61651294097925
4a,1[,18.776828469859282
4a,3b,20.21976722357989
4a,1z,20.090828948571037
4a,5z,18.9027723972524
4a,7p,19.082686168898512
4a,1t,20.517308116130494
4a,5q,20.54088609006232
4a,1o,19.720586322120194
4a,7r,19.412044798603485
4a,2a,17.94235137482873
4a,4a,20.69143196895889
4a,0a,19.65663782716539
4a,#a,20.33882747979437
4a,4g,19.97515409934333
4a,6g,19.896182820899075
4a,8d,19.271821836859253
4a,4d,20.27119323049278
4a,6d,19.49877345802693
4a,2h,19.819236933339685
4a,4n,20.1768724523738
4a,0i,20.61656958540629
4a,6n,19.531116389471887
4a,6j,20.12823459252191
4a,2[,18.998130469890626
4a,4b,19.724130585319386
4a,0b,20.220110595397987
4a,4p,19.826765821847893
4a,6p,18.746714066305056
4a,4s,20.62700356841121
4a,2o,19.87415920010929
0a,1a,13.47897243321284
0a,1m,19.0644592479847
0a,1L,19.3290506017442
0a,&a,18.4748707017653
0a,7a,18.445838457505747
0a,3a,18.911728522891934
0a,9a,19.23903791039984
0a,1g,17.42593951109149
0a,7d,18.81710283871098
0a,3d,18.601682034573077
0a,5d,18.977934797277516
0a,1e,18.025468821422546
0a,1c,16.011828426803852
0a,1f,18.65019571748417
0a,5j,19.06487241735102
0a,1b,16.72096047908434
0a,1[,17.872734636043376
0a,3b,19.395156310647174
0a,1z,19.236162280097968
0a,5z,18.174850447616674
0a,7p,18.24452924556304
0a,1t,19.657574956925824
0a,5q,19.7501845138262
0a,1o,18.84151115380516
0a,7r,18.55901265386688
0a,2a,16.999471707503325
0a,4a,19.65663782716539
0a,0a,19.120809623002906
0a,#a,19.780934021160228
0a,4g,19.16867420780192
0a,6g,19.128848647800396
0a,8d,18.423701693765683
0a,4d,19.44440098542612
0a,6d,18.7074243957221
0a,2h,18.90453471334708
0a,4n,19.34115468185189
0a,0i,19.791698909893704
0a,6n,18.721703048549596
0a,6j,19.329422518665396
0a,2[,18.068401470692113
0a,4b,18.886369707499234
0a,0b,19.464913066254862
0a,4p,18.983373149448198
0a,6p,17.947704328478416
0a,4s,19.8021762269852
0a,2o,18.986645699563894
#a,1a,14.253783945266607
#a,1m,19.80100773725628
#a,1L,20.088931960575746
#a,&a,19.276266355275155
#a,7a,19.2351658259314
#a,3a,19.70528068046218
#a,9a,20.033213825893085
#a,1g,18.162424956833785
#a,7d,19.51267151026317
#a,3d,19.29040583562843
#a,5d,19.67568216066737
#a,1e,18.76904214190285
#a,1c,16.722017763781928
#a,1f,19.366161000228555
#a,5j,19.746853610138977
#a,1b,17.479162821734064
#a,1[,18.617534183715588
#a,3b,20.15231675648752
#a,1z,19.97186628684833
#a,5z,18.90868036371173
#a,7p,18.931367624989086
#a,1t,20.36571142007023
#a,5q,20.43690629690628
#a,1o,19.521413921609334
#a,7r,19.22578272501006
#a,2a,17.720737567136872
#a,4a,20.33882747979437
#a,0a,19.780934021160228
#a,#a,21.05216118322567
#a,4g,19.869469749460517
#a,6g,19.796986536418604
#a,8d,19.107304148020106
#a,4d,20.12981964445236
#a,6d,19.388427823725635
#a,2h,19.607760532933234
#a,4n,20.021011455253497
#a,0i,20.453749558885992
#a,6n,19.39012470637592
#a,6j,20.00099609039597
#a,2[,18.781351375818552
#a,4b,19.625208492356943
#a,0b,20.165502325204827
#a,4p,19.66153748092945
#a,6p,18.624446217176725
#a,4s,20.521797135873342
#a,2o,19.664459313704988
4g,1a,13.935110778457034
4g,1m,19.538256708818523
4g,1L,19.772848680298647
4g,&a,18.898121775216698
4g,7a,18.82281474456932
4g,3a,19.23866810456012
4g,9a,19.504511257316548
4g,1g,18.070722710505155
4g,7d,19.506747052118023
4g,3d,19.300247622544813
4g,5d,19.585878383972688
4g,1e,18.52370409763828
4g,1c,16.605586563982712
4g,1f,19.230212556000613
4g,5j,19.6602986902781
4g,1b,17.174202554244552
4g,1[,18.33906986568713
4g,3b,19.757285442065466
4g,1z,19.819017236106014
4g,5z,18.70979378453867
4g,7p,18.913999608579736
4g,1t,20.223420461703792
4g,5q,20.331145335761732
4g,1o,19.315618604224124
4g,7r,19.138324374138428
4g,2a,17.5003478812192
4g,4a,19.97515409934333
4g,0a,19.16867420780192
4g,#a,19.869469749460517
4g,4g,20.086633958230237
4g,6g,19.69117341837904
4g,8d,19.145604363010406
4g,4d,20.167540819687996
4g,6d,19.365417858116174
4g,2h,19.390653495142068
4g,4n,19.977830893482594
4g,0i,20.41961111196256
4g,6n,19.35941543679737
4g,6j,19.9247665424481
4g,2[,18.561165405280093
4g,4b,19.213341061733804
4g,0b,19.812529928611188
4g,4p,19.67186827542819
4g,6p,18.603807356195468
4g,4s,20.238509121977668
4g,2o,19.475401135603935
6g,1a,13.789135800314293
6g,1m,19.43530826270201
6g,1L,19.6201368341602
6g,&a,18.76496320354029
6g,7a,18.70711169823688
6g,3a,19.164825235413044
6g,9a,19.530931900741106
6g,1g,17.891805959070496
6g,7d,19.41463627470253
6g,3d,19.252250636145554
6g,5d,19.706029262069595
6g,1e,18.419668389202872
6g,1c,16.52795084751044
6g,1f,19.13446439507522
6g,5j,19.758045804167853
6g,1b,17.056025010250753
6g,1[,18.236725555720593
6g,3b,19.722526782671085
6g,1z,19.683103804024046
6g,5z,18.88049099196939
6g,7p,18.87726837763432
6g,1t,20.158467626164924
6g,5q,20.438778982279093
6g,1o,19.32936499901354
6g,7r,19.16328634105872
6g,2a,17.35349295211121
6g,4a,19.896182820899075
6g,0a,19.128848647800396
6g,#a,19.796986536418604
6g,4g,19.69117341837904
6g,6g,20.087080287182086
6g,8d,19.053991169016946
6g,4d,20.11985245026153
6g,6d,19.464441861316804
6g,2h,19.30464446488085
6g,4n,19.984137860543786
6g,0i,20.54696016179401
6g,6n,19.484665774331614
6g,6j,20.043628835816573
6g,2[,18.451676903773176
6g,4b,19.153143996290147
6g,0b,19.873383027528288
6g,4p,19.632354109689512
6g,6p,18.710527506797657
6g,4s,20.213140662937825
6g,2o,19.470037481858434
8d,1a,13.436740215873694
8d,1m,19.081261392221318
8d,1L,19.224851907071205
8d,&a,18.36602730932523
8d,7a,18.216666662432846
8d,3a,18.571255977808523
8d,9a,18.817058420572568
8d,1g,17.844944011819422
8d,7d,19.626496180689767
8d,3d,19.33341487917745
8d,5d,19.290635763649387
8d,1e,18.12276772801181
8d,1c,16.402897699852677
8d,1f,18.98240081279211
8d,5j,19.39302162643654
8d,1b,16.695961938454232
8d,1[,17.87551182141016
8d,3b,19.127151796431008
8d,1z,19.489190220893448
8d,5z,18.192679087117146
8d,7p,18.908631285759565
8d,1t,19.963731133739483
8d,5q,20.06151697362247
8d,1o,18.956754672753316
8d,7r,18.985917000825715
8d,2a,17.01183097626233
8d,4a,19.271821836859253
8d,0a,18.423701693765683
8d,#a,19.107304148020106
8d,4g,19.145604363010406
8d,6g,19.053991169016946
8d,8d,19.63965097997489
8d,4d,20.174193664418496
8d,6d,19.13712554346835
8d,2h,18.95049200313101
8d,4n,19.869285221146306
8d,0i,20.17898069207268
8d,6n,19.129390510134094
8d,6j,19.64201205489279
8d,2[,18.104048513522613
8d,4b,18.518268530688147
8d,0b,19.123909864873806
8d,4p,19.70879404154342
8d,6p,18.36459295407048
8d,4s,19.69940230647683
8d,2o,19.12137261995513
4d,1a,14.377678086519225
4d,1m,20.032733340173365
4d,1L,20.164786092200508
4d,&a,19.32675884748518
4d,7a,19.192554860940486
4d,3a,19.57397499363864
4d,9a,19.841359842086266
4d,1g,18.713145973008398
4d,7d,20.426037043767025
4d,3d,20.272809353393765
4d,5d,20.347861591207167
4d,1e,19.05105048246995
4d,1c,17.324907787846126
4d,1f,19.89109946824229
4d,5j,20.4138183300571
4d,1b,17.641232352337898
4d,1[,18.828136036990728
4d,3b,20.132660337091373
4d,1z,20.41025922836995
4d,5z,19.262361836930584
4d,7p,19.841415473716513
4d,1t,20.900684960649727
4d,5q,21.088130077782505
4d,1o,19.923525138283537
4d,7r,19.927311100140628
4d,2a,17.94756451914773
4d,4a,20.27119323049278
4d,0a,19.44440098542612
4d,#a,20.12981964445236
4d,4g,20.167540819687996
4d,6g,20.11985245026153
4d,8d,20.174193664418496
4d,4d,21.380909420629877
4d,6d,20.212584433951605
4d,2h,19.89405141121244
4d,4n,20.855676261599672
4d,0i,21.24150614299229
4d,6n,20.187413681766085
4d,6j,20.67306880252353
4d,2[,19.046917508822148
4d,4b,19.52532138963773
4d,0b,20.152967961436037
4d,4p,20.654163182808773
4d,6p,19.43449527613531
4d,4s,20.681375972152413
4d,2o,20.075600747734143
6d,1a,13.522673060463426
6d,1m,19.174123262820657
6d,1L,19.33280688320124
6d,&a,18.48523097343553
6d,7a,18.38915429787545
6d,3a,18.806524793200047
6d,9a,19.128593141288512
6d,1g,17.780592090213407
6d,7d,19.46704798330403
6d,3d,19.351998209001035
6d,5d,19.915630809379184
6d,1e,18.233672369978247
6d,1c,16.425535623056636
6d,1f,19.021357963423505
6d,5j,19.84925920674306
6d,1b,16.79354285981167
6d,1[,17.966913645374447
6d,3b,19.363622302665625
6d,1z,19.53034351228323
6d,5z,18.714897236297237
6d,7p,18.9253704910902
6d,1t,20.022428766809174
6d,5q,20.521058305557013
6d,1o,19.119669240907463
6d,7r,19.130078502302908
6d,2a,17.080342968565727
6d,4a,19.49877345802693
6d,0a,18.7074243957221
6d,#a,19.388427823725635
6d,4g,19.365417858116174
6d,6g,19.464441861316804
6d,8d,19.13712554346835
6d,4d,20.212584433951605
6d,6d,19.972875072873578
6d,2h,19.04600865053505
6d,4n,19.993936068507487
6d,0i,20.535279723658327
6d,6n,19.576125708855226
6d,6j,20.119088768624092
6d,2[,18.184607302793708
6d,4b,18.753733841688145
6d,0b,19.437753769827953
6d,4p,19.67642271552836
6d,6p,18.916160903504654
6d,4s,19.936421948389267
6d,2o,19.26006109159204
2h,1a,14.133242763784676
2h,1m,19.740883548898765
2h,1L,19.95542005446929
2h,&a,19.0225181826528
2h,7a,18.83234631268273
2h,3a,19.087081359655517
2h,9a,19.28541040274403
2h,1g,18.027359784763078
2h,7d,19.35450270553484
2h,3d,19.071754381641068
2h,5d,19.28511287807331
2h,1e,18.867797590367466
2h,1c,16.826636645750796
2h,1f,19.48000102679095
2h,5j,19.510681744840657
2h,1b,17.382579482846058
2h,1[,18.53734530706013
2h,3b,19.643904021836875
2h,1z,19.805222017070992
2h,5z,18.353463873567023
2h,7p,18.74187425697821
2h,1t,20.47872309486177
2h,5q,20.18806297774064
2h,1o,19.771931258929502
2h,7r,19.29265805794084
2h,2a,17.699027600334258
2h,4a,19.819236933339685
2h,0a,18.90453471334708
2h,#a,19.607760532933234
2h,4g,19.390653495142068
2h,6g,19.30464446488085
2h,8d,18.95049200313101
2h,4d,19.89405141121244
2h,6d,19.04600865053505
2h,2h,20.38568488910948
2h,4n,19.97622541666032
2h,0i,20.29527320023581
2h,6n,19.189672070322985
2h,6j,19.772856741800435
2h,2[,18.76211253420352
2h,4b,19.04264208284617
2h,0b,19.562235363586584
2h,4p,19.482014547161366
2h,6p,18.296660637511504
2h,4s,20.389520971731887
2h,2o,20.021116098091486
4n,1a,14.322094821027413
4n,1m,19.991006108617338
4n,1L,20.10417269143861
4n,&a,19.26819791450428
4n,7a,19.118318080835248
4n,3a,19.48378127138437
4n,9a,19.753389507680183
4n,1g,18.594493154553472
4n,7d,20.23395455995208
4n,3d,20.01357239111098
4n,5d,20.20157532632106
4n,1e,19.129199736518476
4n,1c,17.538146963495592
4n,1f,20.042410955639028
4n,5j,20.50374166233065
4n,1b,17.590535291427962
4n,1[,18.77792437889865
4n,3b,20.046261734848596
4n,1z,20.31522222679083
4n,5z,19.122766503645565
4n,7p,19.646684656075262
4n,1t,21.057786706576614
4n,5q,21.170367122440524
4n,1o,20.09606863410552
4n,7r,20.259514076351675
4n,2a,17.877229743095754
4n,4a,20.1768724523738
4n,0a,19.34115468185189
4n,#a,20.021011455253497
4n,4g,19.977830893482594
4n,6g,19.984137860543786
4n,8d,19.869285221146306
4n,4d,20.855676261599672
4n,6d,19.993936068507487
4n,2h,19.97622541666032
4n,4n,21.522321074679713
4n,0i,21.42358313461712
4n,6n,20.32624796344614
4n,6j,20.762238049308266
4n,2[,18.983346772485792
4n,4b,19.419533376038057
4n,0b,20.05200474181949
4n,4p,20.39195308573564
4n,6p,19.225111864152755
4n,4s,20.72782247241435
4n,2o,20.255934563050626
0i,1a,14.650802929398141
0i,1m,20.33127199541234
0i,1L,20.45348326500177
0i,&a,19.608050225594408
0i,7a,19.49776770007638
0i,3a,19.90058776235416
0i,9a,20.21068056039671
0i,1g,18.860478650966783
0i,7d,20.50894506147984
0i,3d,20.361054132215813
0i,5d,20.72198094357012
0i,1e,19.400507028652754
0i,1c,17.691843376812
0i,1f,20.233235208140265
0i,5j,21.000659216807968
0i,1b,17.927542500285536
0i,1[,19.123844158206037
0i,3b,20.475764030861114
0i,1z,20.61796962575097
0i,5z,19.665180700987946
0i,7p,19.986104451028638
0i,1t,21.27635676612246
0i,5q,21.669288230162888
0i,1o,20.42423366404289
0i,7r,20.492238351745176
0i,2a,18.227051858551548
0i,4a,20.61656958540629
0i,0a,19.791698909893704
0i,#a,20.453749558885992
0i,4g,20.41961111196256
0i,6g,20.54696016179401
0i,8d,20.17898069207268
0i,4d,21.24150614299229
0i,6d,20.535279723658327
0i,2h,20.29527320023581
0i,4n,21.42358313461712
0i,0i,22.55956441697153
0i,6n,21.12094765196259
0i,6j,21.32872225513394
0i,2[,19.34082767973642
0i,4b,19.863081836181046
0i,0b,20.539889473812316
0i,4p,20.75782834805116
0i,6p,19.786984342452925
0i,4s,21.126883211529464
0i,2o,20.576053166878914
6n,1a,13.555923222743466
6n,1m,19.218099678561906
6n,1L,19.371467246249715
6n,&a,18.51305019930066
6n,7a,18.412649598291285
6n,3a,18.821741197513987
6n,9a,19.14289486724209
6n,1g,17.787990852882796
6n,7d,19.455555252732925
6n,3d,19.317917273565854
6n,5d,19.75983823710591
6n,1e,18.34743681909304
6n,1c,16.595632593401856
6n,1f,19.166546327715608
6n,5j,20.129498658021475
6n,1b,16.832205151092147
6n,1[,18.011967428922073
6n,3b,19.391343611704926
6n,1z,19.541579122781734
6n,5z,18.667995528280372
6n,7p,18.9215040690765
6n,1t,20.178466241901127
6n,5q,20.771751585784852
6n,1o,19.305398236054412
6n,7r,19.420884439632122
6n,2a,17.122543584327655
6n,4a,19.531116389471887
6n,0a,18.721703048549596
6n,#a,19.39012470637592
6n,4g,19.35941543679737
6n,6g,19.484665774331614
6n,8d,19.129390510134094
6n,4d,20.187413681766085
6n,6d,19.576125708855226
6n,2h,19.189672070322985
6n,4n,20.32624796344614
6n,0i,21.12094765196259
6n,6n,20.55423084744541
6n,6j,20.504900665443337
6n,2[,18.23172134342771
6n,4b,18.78187220401211
6n,0b,19.471978450616426
6n,4p,19.686639511911512
6n,6p,18.809690012604502
6n,4s,20.0902940318982
6n,2o,19.464269858091022
6j,1a,14.151764197251392
6j,1m,19.801174061648556
6j,1L,19.9790747110703
6j,&a,19.109805368546763
6j,7a,19.020687418924567
6j,3a,19.430288837081
6j,9a,19.7613686933466
6j,1g,18.363029846101576
6j,7d,20.001898297357744
6j,3d,19.844134365022022
6j,5d,20.376971562211796
6j,1e,18.984690025360997
6j,1c,17.147761999599272
6j,1f,19.760027174338557
6j,5j,20.876449394860586
6j,1b,17.430007429596802
6j,1[,18.591402642536558
6j,3b,19.992037833408478
6j,1z,20.133524697160038
6j,5z,19.282145251721925
6j,7p,19.450325622759266
6j,1t,20.7437870066056
6j,5q,21.470508169065987
6j,1o,19.8996354070566
6j,7r,19.976830631429678
6j,2a,17.703646823989374
6j,4a,20.12823459252191
6j,0a,19.329422518665396
6j,#a,20.00099609039597
6j,4g,19.9247665424481
6j,6g,20.043628835816573
6j,8d,19.64201205489279
6j,4d,20.67306880252353
6j,6d,20.119088768624092
6j,2h,19.772856741800435
6j,4n,20.762238049308266
6j,0i,21.32872225513394
6j,6n,20.504900665443337
6j,6j,21.391959256816467
6j,2[,18.810887165769838
6j,4b,19.374752093345727
6j,0b,20.071532752042287
6j,4p,20.188603599063025
6j,6p,19.325884417150824
6j,4s,20.734734306331468
6j,2o,20.05189987110285
2[,1a,13.349045354356651
2[,1m,18.996604736514023
2[,1L,19.09721169563635
2[,&a,18.242302552881164
2[,7a,18.023735164323
2[,3a,18.26900104086261
2[,9a,18.4368706860752
2[,1g,17.20654909232955
2[,7d,18.507937378616468
2[,3d,18.223142972055914
2[,5d,18.420492356747953
2[,1e,17.720428684599476
2[,1c,15.773980770876866
2[,1f,18.392152121387227
2[,5j,18.549422986571372
2[,1b,16.72653737856916
2[,1[,17.948531793815054
2[,3b,18.896079352170123
2[,1z,19.059505200539867
2[,5z,17.52152833183543
2[,7p,17.932652663902868
2[,1t,19.476209214466248
2[,5q,19.25220981831228
2[,1o,18.6343208494415
2[,7r,18.26682583697274
2[,2a,16.997205685849295
2[,4a,18.998130469890626
2[,0a,18.068401470692113
2[,#a,18.781351375818552
2[,4g,18.561165405280093
2[,6g,18.451676903773176
2[,8d,18.104048513522613
2[,4d,19.046917508822148
2[,6d,18.184607302793708
2[,2h,18.76211253420352
2[,4n,18.983346772485792
2[,0i,19.34082767973642
2[,6n,18.23172134342771
2[,6j,18.810887165769838
2[,2[,18.43112235911309
2[,4b,18.309284745526604
2[,0b,18.75778926400173
2[,4p,18.67544889270285
2[,6p,17.461014343022804
2[,4s,19.325342840823293
2[,2o,18.800208427101445
4b,1a,13.616848883718946
4b,1m,19.212342200683416
4b,1L,19.46397680243944
4b,&a,18.59724161770045
4b,7a,18.549272860540928
4b,3a,18.957762064388433
4b,9a,19.208148024006935
4b,1g,17.537115581823162
4b,7d,18.90962554601333
4b,3d,18.683814100853688
4b,5d,19.013104711061274
4b,1e,18.11995254084835
4b,1c,16.112008484326182
4b,1f,18.746537083243094
4b,5j,19.109919074911915
4b,1b,16.943210238777006
4b,1[,18.09963975817054
4b,3b,19.657549955184802
4b,1z,19.401696676781725
4b,5z,18.248837078048037
4b,7p,18.36712293244749
4b,1t,19.801931232195003
4b,5q,19.82217587851899
4b,1o,18.978219156254724
4b,7r,18.66620046786787
4b,2a,17.160010480959002
4b,4a,19.724130585319386
4b,0a,18.886369707499234
4b,#a,19.625208492356943
4b,4g,19.213341061733804
4b,6g,19.153143996290147
4b,8d,18.518268530688147
4b,4d,19.52532138963773
4b,6d,18.753733841688145
4b,2h,19.04264208284617
4b,4n,19.419533376038057
4b,0i,19.863081836181046
4b,6n,18.78187220401211
4b,6j,19.374752093345727
4b,2[,18.309284745526604
4b,4b,19.417878230794454
4b,0b,19.663998483296407
4b,4p,19.111187765580755
4b,6p,18.04088956508567
4b,4s,19.940873739622518
4b,2o,19.13092071202004
0b,1a,14.070948091505766
0b,1m,19.68937129274559
0b,1L,19.92010690732896
0b,&a,19.05258835722246
0b,7a,19.01330217260697
0b,3a,19.46919144500204
0b,9a,19.818088237647558
0b,1g,18.06788369990704
0b,7d,19.50524274168216
0b,3d,19.304491055225565
0b,5d,19.70310726450971
0b,1e,18.667656674023853
0b,1c,16.684443677555965
0b,1f,19.31499334999778
0b,5j,19.79848422925578
0b,1b,17.38418807730924
0b,1[,18.544911605714923
0b,3b,20.131848069884654
0b,1z,19.921619986633228
0b,5z,18.97944556317711
0b,7p,18.978651931252912
0b,1t,20.364743470255448
0b,5q,20.51563032555161
0b,1o,19.55920345164333
0b,7r,19.295525015857642
0b,2a,17.619277171133852
0b,4a,20.220110595397987
0b,0a,19.464913066254862
0b,#a,20.165502325204827
0b,4g,19.812529928611188
0b,6g,19.873383027528288
0b,8d,19.123909864873806
0b,4d,20.152967961436037
0b,6d,19.437753769827953
0b,2h,19.562235363586584
0b,4n,20.05200474181949
0b,0i,20.539889473812316
0b,6n,19.471978450616426
0b,6j,20.071532752042287
0b,2[,18.75778926400173
0b,4b,19.663998483296407
0b,0b,20.519467052856516
0b,4p,19.726694154782916
0b,6p,18.729806101365032
0b,4s,20.549607239858645
0b,2o,19.707124067729602
4p,1a,13.956660203617687
4p,1m,19.623567485932924
4p,1L,19.737528032880853
4p,&a,18.898615896015393
4p,7a,18.756318008678992
4p,3a,19.12504553541791
4p,9a,19.38013838215416
4p,1g,18.284870697964585
4p,7d,19.982677760955774
4p,3d,19.766596819041272
4p,5d,19.840603994761732
4p,1e,18.623695728043774
4p,1c,16.902324880159647
4p,1f,19.466012655109235
4p,5j,19.92932319348346
4p,1b,17.25766675883454
4p,1[,18.4491637451545
4p,3b,19.722379539849662
4p,1z,20.036745783236455
4p,5z,18.804165911448397
4p,7p,19.517163033701912
4p,1t,20.527151661936816
4p,5q,20.646081976164496
4p,1o,19.540601089250817
4p,7r,19.548333259908468
4p,2a,17.535506154437755
4p,4a,19.826765821847893
4p,0a,18.983373149448198
4p,#a,19.66153748092945
4p,4g,19.67186827542819
4p,6g,19.632354109689512
4p,8d,19.70879404154342
4p,4d,20.654163182808773
4p,6d,19.67642271552836
4p,2h,19.482014547161366
4p,4n,20.39195308573564
4p,0i,20.75782834805116
4p,6n,19.686639511911512
4p,6j,20.188603599063025
4p,2[,18.67544889270285
4p,4b,19.111187765580755
4p,0b,19.726694154782916
4p,4p,20.52159037866646
4p,6p,18.991989168331386
4p,4s,20.263943817427748
4p,2o,19.69386458077437
6p,1a,12.764023203105767
6p,1m,18.420668059283678
6p,1L,18.574808392174017
6p,&a,17.72508756801856
6p,7a,17.6300991167748
6p,3a,18.047982860448464
6p,9a,18.365710153960848
6p,1g,17.013215000047143
6p,7d,18.68825609506939
6p,3d,18.56650820521161
6p,5d,19.053882533335702
6p,1e,17.468606984699964
6p,1c,15.662274028921573
6p,1f,18.25474564882232
6p,5j,19.049172834033662
6p,1b,16.063059253740807
6p,1[,17.23980726631495
