ROT_i,ROT_j,a_ij
9a,1t,20.096697535876263
9a,5q,20.21840507260221
9a,1o,19.28007222894529
9a,7r,18.994678439307684
9a,2a,17.359612844717237
9a,4a,19.945811739305373
9a,0a,19.23903791039984
9a,#a,20.033213825893085
9a,4g,19.504511257316548
9a,6g,19.530931900741106
9a,8d,18.817058420572568
9a,4d,19.841359842086266
9a,6d,19.128593141288512
9a,2h,19.28541040274403
9a,4n,19.753389507680183
9a,0i,20.21068056039671
9a,6n,19.14289486724209
9a,6j,19.7613686933466
9a,2[,18.4368706860752
9a,4b,19.208148024006935
9a,0b,19.818088237647558
9a,4p,19.38013838215416
9a,6p,18.365710153960848
9a,4s,20.1950769682667
9a,2o,19.392941657884517
1g,1a,12.75559337920537
1g,1m,18.30605142972332
1g,1L,18.47962507663076
1g,&a,17.65655621664788
1g,7a,17.409451710938875
1g,3a,17.68371964532092
1g,9a,17.862540373155124
1g,1g,17.621556709858556
1g,7d,18.406559349576394
1g,3d,18.00882856502764
1g,5d,18.049398636296832
1g,1e,17.314331114006535
1g,1c,15.500598972087955
1g,1f,18.13018845756932
1g,5j,18.156761349976406
1g,1b,15.945113771909922
1g,1[,17.096594413088127
1g,3b,18.20575745011234
1g,1z,18.78974670738158
1g,5z,17.062354367227368
1g,7p,17.649395887981427
1g,1t,19.057977217049675
1g,5q,18.83500190817256
1g,1o,17.960104137571133
1g,7r,17.81557358946133
1g,2a,16.156298400895103
1g,4a,18.284268339648907
1g,0a,17.42593951109149
1g,#a,18.162424956833785
1g,4g,18.070722710505155
1g,6g,17.891805959070496
1g,8d,17.844944011819422
1g,4d,18.713145973008398
1g,6d,17.780592090213407
1g,2h,18.027359784763078
1g,4n,18.594493154553472
1g,0i,18.860478650966783
1g,6n,17.787990852882796
1g,6j,18.363029846101576
1g,2[,17.20654909232955
1g,4b,17.537115581823162
1g,0b,18.06788369990704
1g,4p,18.284870697964585
1g,6p,17.013215000047143
1g,4s,18.68329848595826
1g,2o,18.09762600703633
7d,1a,13.910013135071127
7d,1m,19.541104429854425
7d,1L,19.679490474036005
7d,&a,18.839482959668477
7d,7a,18.67036513304642
7d,3a,19.014436283058856
7d,9a,19.25154201459291
7d,1g,18.406559349576394
7d,7d,20.436975544135443
7d,3d,19.842446031548256
7d,5d,19.71145416297264
7d,1e,18.59633360027575
7d,1c,16.902674541530068
7d,1f,19.478384957029213
7d,5j,19.80149685524284
7d,1b,17.1580412040446
7d,1[,18.33366765391672
7d,3b,19.562019469944005
7d,1z,19.99121081118453
7d,5z,18.612169569545763
7d,7p,19.395685129291877
7d,1t,20.441911887591647
7d,5q,20.475585973770517
7d,1o,19.387889374395034
7d,7r,19.410351285887312
7d,2a,17.417932188841508
7d,4a,19.661178476972548
7d,0a,18.81710283871098
7d,#a,19.51267151026317
7d,4g,19.506747052118023
7d,6g,19.41463627470253
7d,8d,19.626496180689767
7d,4d,20.426037043767025
7d,6d,19.46704798330403
7d,2h,19.35450270553484
7d,4n,20.23395455995208
7d,0i,20.50894506147984
7d,6n,19.455555252732925
7d,6j,20.001898297357744
7d,2[,18.507937378616468
7d,4b,18.90962554601333
7d,0b,19.50524274168216
7d,4p,19.982677760955774
7d,6p,18.68825609506939
7d,4s,20.091987425440376
7d,2o,19.524830173717692
3d,1a,13.60549356230798
3d,1m,19.248847478234698
3d,1L,19.38776023280164
3d,&a,18.54993541096617
3d,7a,18.408243473141926
3d,3a,18.781589512599307
3d,9a,19.04350850160308
3d,1g,18.00882856502764
3d,7d,19.842446031548256
3d,3d,19.84040623845768
3d,5d,19.59468021098089
3d,1e,18.29193746708353
3d,1c,16.578611282836572
3d,1f,19.14871548423905
3d,5j,19.64449683252006
3d,1b,16.861864177047046
3d,1[,18.042633869867934
3d,3b,19.333734318819076
3d,1z,19.66573279234576
