,ddag_ij,D_norm,ROT_i,ROT_j,q_i,q_j,a_ij
31,bj,0.0004792624001661755,b,j,0.0019694731659281144,0.0019694731659281144,20.10324070318641
32,bk,0.0005371084067908423,b,k,0.0019694731659281144,0.0019694731659281144,19.9892890099071
33,bl,0.0006149153953120527,b,l,0.0019694731659281144,0.0019694731659281144,19.85400426914046
34,bm,0.0006957945732999155,b,m,0.0019694731659281144,0.0019694731659281144,19.73043449542187
35,bn,0.0004559406898875717,b,n,0.0019694731659281144,0.0019694731659281144,20.153126223866224
36,bo,0.0003562496180556949,b,o,0.0019694731659281144,0.0019694731659281144,20.399857299427342
37,bp,0.0005025993341577872,b,p,0.0019694731659281144,0.0019694731659281144,20.055695658572137
38,bq,0.0005841175248804119,b,q,0.0019694731659281144,0.0019694731659281144,19.905386755069753
39,br,0.0006118581776408108,b,r,0.0019694731659281144,0.0019694731659281144,19.858988439108874
40,bs,0.00047477735571746634,b,s,0.0019694731659281144,0.0019694731659281144,20.112642989541765
41,bt,0.000604105399404433,b,t,0.0019694731659281144,0.0019694731659281144,19.871740273848985
42,bu,0.0004967739459603282,b,u,0.0019694731659281144,0.0019694731659281144,20.06735387336036
43,bv,0.0006589233965373544,b,v,0.0019694731659281144,0.0019694731659281144,19.78488167311608
44,ca,0.00038459184029675464,c,a,0.012801575578532743,0.012801575578532743,16.579701988229544
45,cb,0.000516422604889897,c,b,0.012801575578532743,0.012801575578532743,16.284959173074817
46,cc,0.00013568389721702273,c,c,0.012801575578532743,0.012801575578532743,17.621556709858556
47,cd,0.0003195638733838065,c,d,0.012801575578532743,0.012801575578532743,16.764927434550938
48,ce,0.00035446709825742863,c,e,0.012801575578532743,0.012801575578532743,16.66126907510284
49,cf,0.00034260997446172893,c,f,0.012801575578532743,0.012801575578532743,16.69529190560031
50,cg,0.0003812139163434496,c,g,0.012801575578532743,0.012801575578532743,16.588523927296166
51,ch,0.0005241783842628157,c,h,0.012801575578532743,0.012801575578532743,16.27005255071102
52,ci,0.0005448067366218177,c,i,0.012801575578532743,0.012801575578532743,16.23145348501152
53,cj,0.00035750647759976134,c,j,0.012801575578532743,0.012801575578532743,16.652731123951995
54,ck,0.00035949708392958357,c,k,0.012801575578532743,0.012801575578532743,16.647178539415396
55,cl,0.00036744355077183505,c,l,0.012801575578532743,0.012801575578532743,16.625314901569336
56,cm,0.0005802969392403491,c,m,0.012801575578532743,0.012801575578532743,16.168344668343078
57,cn,0.0004163144761340147,c,n,0.012801575578532743,0.012801575578532743,16.50044367816357
58,co,0.0005033752724001103,c,o,0.012801575578532743,0.012801575578532743,16.31054864476313
59,cp,0.0004400166539728188,c,p,0.012801575578532743,0.012801575578532743,16.445072028947838
60,cq,0.00041177693127834826,c,q,0.012801575578532743,0.012801575578532743,16.511402831294173
61,cr,0.00041489285366360827,c,r,0.012801575578532743,0.012801575578532743,16.503864302129706
62,cs,0.0004589922947737023,c,s,0.012801575578532743,0.012801575578532743,16.402851182147835
63,ct,0.0004369945440920936,c,t,0.012801575578532743,0.012801575578532743,16.451963894979546
64,cu,0.00045753500897315,c,u,0.012801575578532743,0.012801575578532743,16.406031200948505
65,cv,0.0005478824600309473,c,v,0.012801575578532743,0.012801575578532743,16.22582383013474
66,da,0.00045922529916661033,d,a,0.04841621532906614,0.04841621532906614,13.741810608289944
67,db,0.0004938415179625829,d,b,0.04841621532906614,0.04841621532906614,13.669136893906394
68,dc,0.0003195638733838065,d,c,0.04841621532906614,0.04841621532906614,14.104394375250482
69,dd,0.000198737794302216,d,d,0.04841621532906614,0.04841621532906614,14.57936520644889
70,de,0.0004323332063855524,d,e,0.04841621532906614,0.04841621532906614,13.802154943767366
71,df,0.0003007516490150791,d,f,0.04841621532906614,0.04841621532906614,14.16506670793246
72,dg,0.0004562931788423612,d,g,0.04841621532906614,0.04841621532906614,13.748216006804268
73,dh,0.0005020345918187796,d,h,0.04841621532906614,0.04841621532906614,13.652682520458404
74,di,0.0004286426795107317,d,i,0.04841621532906614,0.04841621532906614,13.810727888813346
75,dj,0.000443702539499899,d,j,0.04841621532906614,0.04841621532906614,13.776197163951567
76,dk,0.00027955933354983367,d,k,0.04841621532906614,0.04841621532906614,14.23813699110087
77,dl,0.0004414076528473655,d,l,0.04841621532906614,0.04841621532906614,13.781382714439674
78,dm,0.0004767093963721512,d,m,0.04841621532906614,0.04841621532906614,13.704444472474671
79,dn,0.00048398675922484217,d,n,0.04841621532906614,0.04841621532906614,13.689293996412667
80,do,0.000471477282327251,d,o,0.04841621532906614,0.04841621532906614,13.715480626571429
81,dp,0.0005119613669208401,d,p,0.04841621532906614,0.04841621532906614,13.63310237882174
82,dq,0.0004860983913808224,d,q,0.04841621532906614,0.04841621532906614,13.68494049097078
83,dr,0.0003847712510304301,d,r,0.04841621532906614,0.04841621532906614,13.918702541240494
84,ds,0.0005209837094925529,d,s,0.04841621532906614,0.04841621532906614,13.615632772285716
85,dt,0.0005070698941366361,d,t,0.04841621532906614,0.04841621532906614,13.642702693434352
86,du,0.0004387626263320999,d,u,0.04841621532906614,0.04841621532906614,13.787392993450725
87,dv,0.0004501838869136235,d,v,0.04841621532906614,0.04841621532906614,13.761695408901028
88,ea,0.0005230959911279453,e,a,0.7843426883308714,0.7843426883308714,8.041564074639748
89,eb,0.0005907624919312206,e,b,0.7843426883308714,0.7843426883308714,7.919914999577082
90,ec,0.00035446709825742863,e,c,0.7843426883308714,0.7843426883308714,8.43071353132571
91,ed,0.0004323332063855523,e,d,0.7843426883308714,0.7843426883308714,8.23213245929069
92,ee,0.00027408653749267997,e,e,0.7843426883308714,0.7843426883308714,8.6878851745155
93,ef,0.0003712399192973377,e,f,0.7843426883308714,0.7843426883308714,8.384480524964543
94,eg,0.0005357237690973696,e,g,0.7843426883308714,0.7843426883308714,8.017710389237397
95,eh,0.0005953563897011255,e,h,0.7843426883308714,0.7843426883308714,7.9121688607852105
96,ei,0.0006559896659575218,e,i,0.7843426883308714,0.7843426883308714,7.815184025598473
97,ej,0.00041639264466684743,e,j,0.7843426883308714,0.7843426883308714,8.269700388824738
98,ek,0.000448937371195271,e,k,0.7843426883308714,0.7843426883308714,8.194445668380125
99,el,0.0003116536765194785,e,l,0.7843426883308714,0.7843426883308714,8.559436501169635
100,em,0.0005702654800208767,e,m,0.7843426883308714,0.7843426883308714,7.955227054483685
101,en,0.0005416521115077795,e,n,0.7843426883308714,0.7843426883308714,8.006705126632813
102,eo,0.0005821890425701804,e,o,0.7843426883308714,0.7843426883308714,7.934533850901933
